City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Denison,US,78.21,broken clouds,33.7557,-96.5367,Holiday Inn Express & Suites Denison North-Lake Texoma
582,Chabahar,IR,80.04,clear sky,25.2919,60.643,هتل گدروشیا
583,Kudahuvadhoo,MV,83.52,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
584,Cienaga De Oro,CO,76.64,heavy intensity rain,8.8744,-75.6203,Calle 5 20- 45
586,Mapimi,MX,88.18,overcast clouds,25.8167,-103.85,Propiedad Lldm
588,Talen,IN,72.45,clear sky,23.5667,76.7167,होटल आनंद पैलेस
591,Perbaungan,ID,78.91,overcast clouds,3.5679,98.956,Bendang Lama
595,Shelburne,CA,66.65,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
598,Hede,CN,68.11,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
599,Hamilton,US,66.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
600,Andrews,US,85.95,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
601,Kuah,MY,84.18,few clouds,6.3265,99.8432,Azio Hotel
602,Nishihara,JP,85.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
604,Kimbe,PG,89.19,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
607,Marovoay,MG,71.74,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
608,Santa Cruz,BO,80.06,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
609,Rosarito,MX,66.42,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
611,Basak,PH,83.23,broken clouds,6.7274,124.1512,Annie Vallite Alabastro Swimming Pool
