City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Quatre Cocos,MU,-20.2078,57.7625,71.1,87,19,5.82,few clouds
319,Amalapuram,IN,16.5833,82.0167,79.18,92,75,2.55,broken clouds
320,Linxia,CN,35.6003,103.2064,48.22,51,100,0.89,overcast clouds
321,Fraserburgh,GB,57.6874,-2.0184,54.12,87,100,8.08,overcast clouds
322,Barabinsk,RU,55.3571,78.357,32.77,98,100,6.38,overcast clouds
323,Moa,CU,20.6569,-74.9403,78.66,86,2,2.62,clear sky
324,Carauari,BR,-4.8828,-66.8958,76.91,90,60,2.48,broken clouds
325,Mahibadhoo,MV,3.7833,72.9667,83.19,74,26,16.13,scattered clouds
326,Concordia,AR,-31.393,-58.0209,66.78,79,51,3.0,broken clouds
327,Santiago Del Estero,AR,-27.7951,-64.2615,83.8,39,0,10.94,clear sky
328,Dingle,PH,10.9995,122.6711,83.64,79,85,14.18,overcast clouds
329,Yongchang,CN,30.0381,119.7317,65.57,95,100,1.79,light rain
330,Coahuayana,MX,18.7333,-103.6833,79.3,89,100,1.57,overcast clouds
331,Voznesenskoye,RU,54.89,42.7569,48.2,55,100,8.28,overcast clouds
332,San Vicente,AR,-26.6167,-54.1333,59.95,93,16,2.51,few clouds
333,Panambi,BR,-28.2925,-53.5017,70.43,82,0,5.53,clear sky
334,Eyl,SO,7.9803,49.8164,78.39,77,100,17.18,overcast clouds
335,Karakulino,RU,56.012,53.7067,41.25,79,12,4.16,few clouds
336,Flin Flon,CA,54.7682,-101.865,35.2,80,7,3.56,clear sky
337,La Paz,BO,-16.5,-68.15,53.58,43,75,5.75,broken clouds
338,Bratsk,RU,56.1325,101.6142,25.29,52,100,5.03,overcast clouds
339,Nizhniy Ufaley,RU,55.9153,59.9842,40.06,92,99,3.53,overcast clouds
340,Chernaya Kholunitsa,RU,58.8511,51.7154,38.3,91,82,5.46,broken clouds
341,Luklukan,PH,14.3254,122.7124,80.55,84,100,5.41,overcast clouds
342,Aswan,EG,24.0934,32.907,88.9,27,0,11.5,clear sky
